,UCP2,EPB41L3,PPA1,ENPP2,MMD,SLC31A2,ENPP4,EDIL3,TLR4,RBM42,KHSRP,NR2E1,GTF2F1,DOT1L,NCLN,LAMA5,CDK6,C19orf22,CHERP,GANAB,ARAP2,UPF1,DLC1,HSPBP1,DMWD,JUND,PLEKHA4,LRRC16A,KLHL25,CC2D1A,ZNF146,VPS16,FGFR3,TYK2,LRP5,SLC6A9,SLC6A11,MYST2,MLEC,SEZ6L,SLC12A4,SCG3,QTRT1,MYO9B,PRPF31,POMT2,MEOX2,PEPD,UNC45A,TCF3,CDH4,MCC,SIPA1L1,BLM,ACSS3,LMO2,EYA2,PTBP1,KLHL4,NPEPL1,CREB5,CAMK2B,SOX2,ARNTL,AP3D1,RGS12,ADAM19,RBCK1,POFUT1,VAV3,C19orf6,CD97,GRIK5,NOS2,MEGF8,ARAP3,CD151,IRS2,LHFP,RGS6,SEMA6A,SOCS2,ACSBG1,BTBD2,TSPAN3,GLG1,SLC4A4,SCAMP4,HDAC2,NRXN2,WASF1,DPYSL4,SCN3A,ZEB2,BCAS1,MAPT,FAM125B,CHD7,ERBB3,EPHB1,RUFY3,C6orf134,HN1,C1QL1,TTC3,GPR17,PODXL2,CSNK1E,SOX11,MLLT11,GNG4,FXYD6,MTSS1,OLIG2,KIF21B,DCX,RAP2A,MARCKS,DBN1,CLASP2,PFN2,STMN1,MAP2,SOX10,AMOTL2,ALCAM,LPPR1,SOX4,NCAM1,CRMP1,MARCKSL1
C-GBM,2.1062,2.1523,3.095,2.4971,2.7147,1.8194,2.3186,1.301,2.1372,2.3763,2.0075,2.361,2.3674,2.033,2.1725,1.6722,2.2563,2.601,1.6355,2.2471,2.1812,1.301,2.3717,2.6501,1.301,2.0064,1.8318,1.301,2.2793,1.5607,2.9537,2.1599,1.5916,1.7382,1.301,2.0826,2.2426,2.1999,1.6802,1.8394,1.9586,2.2857,2.3832,2.0773,1.301,2.3536,1.5513,1.9676,2.3869,1.301,2.2961,2.9139,2.5927,1.6634,1.5492,2.7143,2.6725,2.8393,2.2257,1.301,2.2445,1.7235,1.7284,2.7837,1.3284,1.301,1.301,2.2391,1.8735,2.0337,2.5874,1.301,1.917,2.5666,2.3754,2.0453,1.301,1.987,1.301,2.4703,1.8131,1.301,2.7731,1.301,1.7844,2.2857,2.0795,2.0976,2.3551,3.5451,1.9599,2.2942,1.7443,2.2929,2.4242,2.6209,2.4186,2.6319,2.3823,2.197,3.2211,2.2952,1.8031,3.162,1.9465,2.0735,1.7031,1.301,1.6576,1.7429,3.4573,2.2301,1.301,2.1003,1.7635,2.0665,2.5783,2.96,3.2894,1.301,2.05,2.1854,2.0075,1.7984,2.2679,1.301,2.1704,2.738,2.6936,2.2359,2.1581
C-GBM,2.1577,1.7951,3.1229,2.2318,2.5148,1.8087,2.1995,1.6616,2.0621,2.3145,2.3759,2.445,2.4881,2.0286,2.5363,1.301,1.6626,2.4275,1.301,1.8273,1.477,1.8233,2.2431,2.8522,1.301,2.1631,1.5105,1.301,2.491,1.6675,2.1662,2.2139,1.4569,1.5455,1.8373,2.0311,2.3268,2.1799,1.3202,1.8198,1.8692,2.1125,2.8241,2.3234,1.301,2.4113,1.8185,2.0529,2.4636,1.301,1.9763,2.7205,2.531,1.9909,1.6424,2.6952,2.537,2.7073,2.0103,1.301,2.3029,1.8722,2.1157,2.6245,1.301,1.4647,1.301,2.3744,1.7951,2.0652,2.6119,1.301,1.914,2.4349,2.1485,2.0041,1.5216,2.0424,1.3047,2.3249,1.7207,1.7987,2.6252,1.765,1.7603,2.3497,1.8066,2.013,2.361,3.559,1.8734,2.3861,1.9867,1.5582,2.392,2.4253,2.2995,2.5254,2.4304,2.1495,3.03,2.1062,1.301,2.9569,1.7696,1.8087,1.6012,1.301,1.8478,1.5531,2.9247,1.832,1.6113,1.9709,1.6743,1.7284,2.3653,3.0952,3.3062,1.301,1.8783,1.6157,1.9853,1.3393,2.2324,1.4047,1.8617,2.7542,2.668,2.9127,2.1185
C-GBM,2.2207,2.1523,3.1728,2.3525,2.6312,2.019,2.2028,1.6034,2.2342,2.4126,2.3755,2.2046,2.3558,2.3928,2.1969,2.5381,1.9051,2.7462,1.5547,2.5877,1.9051,1.6201,2.3579,2.6677,2.3738,1.7468,1.8107,1.301,2.1837,1.7047,2.5015,2.2975,1.5533,1.9975,1.301,2.098,2.3079,2.3216,1.7076,2.0264,1.9891,2.2764,2.4475,2.1904,1.4983,2.3916,2.1564,2.0345,2.5739,1.301,2.1133,2.825,2.7138,1.8808,1.8255,2.7515,2.6022,2.9261,2.2558,1.301,2.1714,1.8219,2.1695,2.6751,1.8903,1.5134,1.301,2.4925,1.8461,2.0318,2.7973,1.301,1.8915,2.5894,1.8016,2.0014,1.3418,2.1485,1.301,2.625,1.693,1.8398,2.7828,1.7235,1.9292,2.2452,2.1468,2.0465,2.34,3.4748,2.1384,2.5125,1.7993,2.0695,2.3493,2.5805,2.3244,2.4662,2.1395,2.2224,3.3203,2.153,1.301,3.0771,2.1454,2.1345,1.301,1.4457,1.855,2.1084,3.5681,1.9298,1.6046,2.0874,2.2121,1.9188,2.4176,3.1065,3.3949,1.301,1.738,2.2446,1.9607,1.717,2.0691,1.9896,2.1327,2.953,2.6878,2.8333,2.1601
C-GBM,2.5113,2.474,2.818,2.2502,2.4818,2.0351,1.9342,1.7366,2.1322,2.2612,1.8638,2.1546,2.2037,2.0357,1.3819,1.8317,1.7071,2.4179,1.5039,1.9598,1.5676,1.7868,2.1415,2.9214,2.5301,2.0123,1.7275,1.301,2.8512,2.0454,2.161,2.3071,1.6332,2.2077,1.301,1.7392,2.2107,1.9861,1.301,2.0019,2.2142,2.1639,2.6886,2.0884,1.579,2.4757,1.301,1.6725,2.7727,1.301,1.9559,3.1091,2.6935,2.1687,1.8991,2.8397,2.42,2.7618,1.8038,1.301,2.2696,1.442,1.301,2.5309,1.9795,1.3608,1.9,2.4671,2.0579,2.3988,2.8371,1.301,1.8328,2.6982,2.0855,2.1639,1.8027,2.0826,1.9157,2.4769,1.952,2.0567,2.8989,1.3819,2.0707,2.1087,1.7798,1.8541,2.1446,3.5161,2.1042,2.1136,1.9667,2.2265,2.2426,2.6493,2.2951,2.3986,2.1163,2.3765,3.2482,2.2129,1.301,3.1579,1.5126,1.7392,1.4184,2.0272,1.858,2.0622,3.2428,1.6829,1.599,2.221,1.7902,1.4994,2.0665,2.6425,3.3569,1.301,1.3877,2.1754,2.1921,1.312,2.234,1.818,2.0396,2.6563,2.4441,1.9659,2.0517
C-GBM-O,1.8506,1.9196,2.6165,2.7092,1.871,1.7731,1.882,1.301,1.6444,1.7356,1.7143,1.7076,1.6355,1.301,1.301,1.301,1.4814,1.6444,1.301,1.9395,1.7267,1.6875,1.8169,2.2723,1.8235,1.5079,1.3838,1.301,1.4914,1.301,1.5145,1.9274,1.301,1.8698,1.4166,1.8825,1.8585,1.9841,1.3324,1.6117,1.5635,1.301,2.5325,1.6365,1.7364,1.8745,1.7634,1.6212,2.0512,1.301,1.5416,2.4964,2.2507,1.8142,1.5441,2.0903,2.1248,2.4275,1.4594,1.301,1.6684,1.301,1.301,2.2405,1.301,1.301,1.301,2.2613,1.6454,1.7419,2.3688,1.301,1.3404,1.5211,1.301,1.7938,1.301,1.6884,1.301,2.181,1.4928,1.3598,2.3965,1.3263,1.7427,2.012,1.8222,1.683,1.4814,3.2084,1.5527,1.8513,1.5682,1.301,1.5922,1.9258,2.0004,1.8865,1.7774,1.617,2.6687,1.3324,1.301,1.5599,1.574,1.301,1.9445,1.301,1.5717,1.3856,2.4382,1.534,1.7931,1.705,1.301,1.6637,2.1708,2.7302,3.0961,1.301,1.301,1.7832,1.5145,1.301,1.8531,1.301,1.993,1.8116,1.776,1.6435,1.7193
C-GBM-O,1.8333,2.0002,2.6297,1.9428,2.3373,1.8167,1.9185,1.301,2.0941,2.1804,1.7268,1.9503,2.0092,1.9002,2.3057,1.5114,1.6495,2.6896,1.4497,1.301,1.301,1.301,2.3081,2.3417,1.9339,1.6505,1.7891,1.301,2.3263,1.301,2.4865,1.8572,1.6812,1.5238,1.301,1.4372,2.1121,1.9554,1.859,1.5295,1.9904,2.1222,2.0229,1.9081,1.301,2.1565,1.301,1.8023,2.2714,1.301,2.0891,2.7363,2.291,1.7508,1.5495,2.8613,2.3887,2.6905,2.2596,1.301,2.0706,1.6187,1.301,2.6149,1.3596,1.4832,1.301,2.1792,1.5851,1.8526,2.4884,1.6351,1.6749,2.3246,2.1896,1.3244,1.3818,1.8427,1.301,2.1737,1.5805,1.6164,2.5555,1.4098,1.7808,2.032,2.1325,2.0279,1.884,3.2845,1.6369,2.1596,1.5562,1.9992,2.1675,2.413,2.2676,2.4563,1.8312,1.8906,3.1102,1.6634,1.448,2.942,2.0013,1.301,1.301,1.3029,1.5172,1.878,2.941,1.8655,1.301,1.9306,1.6266,1.7403,2.3073,2.7768,3.1846,1.4273,1.804,2.0184,1.7411,2.3015,1.9044,1.301,1.3191,2.3965,2.3255,2.728,1.7021
C-GBM-O,2.3551,1.6967,2.617,2.1132,1.9358,1.8749,1.9137,1.5673,1.7564,1.7912,2.0289,1.7655,1.7363,1.7558,1.5508,1.4115,1.301,1.8348,1.301,2.2747,2.1097,1.5992,1.9263,1.9533,2.6302,1.5419,1.5358,1.9622,2.2898,1.5813,1.4873,1.7849,1.4529,2.1234,1.301,1.9644,1.8781,1.9622,1.301,1.6207,2.0061,1.9863,2.5518,2.1361,1.485,2.2474,1.301,1.572,2.8248,1.301,1.5479,2.8939,2.2662,1.8312,1.6097,2.1995,2.4088,2.6958,1.4907,1.4615,1.8905,1.4827,1.301,2.0851,1.5663,1.301,2.1585,2.187,1.7595,2.0345,2.7198,1.3263,1.301,2.615,1.301,1.8389,1.301,1.614,2.0877,2.4961,1.6404,1.6896,2.5628,1.485,2.0984,1.9768,1.301,1.5389,1.9984,3.3076,1.7465,1.6339,1.601,1.3835,1.4963,2.1215,1.804,1.8548,1.6199,2.0608,2.8613,1.7929,1.301,2.8884,1.301,1.6404,1.3907,2.3429,1.6974,1.3078,2.8227,1.4209,1.5885,1.6436,1.8758,1.6939,1.7414,2.6465,3.1237,1.301,1.301,1.7564,1.9652,1.301,1.8265,1.301,1.8007,2.3476,1.6491,1.8989,2.2154
C-GBM-O,2.0417,2.1148,2.8629,2.2769,1.8194,1.6983,2.0282,1.374,1.678,1.9543,1.8103,2.2212,2.142,1.843,1.9946,2.3222,1.5293,2.0311,1.301,1.6907,1.76,1.301,2.0472,2.4463,1.301,1.6359,1.6088,1.594,2.009,1.5307,1.6024,2.0453,1.301,1.8345,1.301,1.8379,1.911,1.9687,1.5355,1.5063,1.9052,1.906,2.2152,1.9941,1.301,2.2349,1.588,1.6276,2.2814,1.301,1.591,2.6716,2.271,1.8033,1.4067,2.4012,2.3879,2.6396,1.301,1.301,1.8681,1.4048,1.301,2.4135,1.3973,1.9989,1.4405,2.1723,1.7808,2.0092,2.6706,1.301,1.5622,2.1431,1.7999,1.7159,1.4507,1.6209,1.301,2.0777,1.9579,1.301,2.6253,1.5355,1.7372,1.9755,1.5071,1.4523,2.2225,3.3369,1.674,2.0365,1.6364,2.1062,1.5737,2.0462,2.0313,2.1271,1.6498,1.9509,2.7671,2.0942,1.375,2.8673,1.5705,1.301,1.301,1.58,1.6041,1.8048,2.652,1.653,1.301,1.9439,1.5976,1.3992,2.539,2.7213,3.0678,1.301,1.6088,1.9692,2.002,2.2665,2.0199,1.4532,1.4048,2.5331,2.2047,2.5372,1.9888
C-GBM-O,1.7152,1.5522,2.159,2.4639,2.5445,1.6405,2.3885,1.5169,1.5255,1.9278,1.5746,1.7882,1.7488,1.5297,1.8092,1.301,1.301,1.301,2.15,1.301,1.6861,1.7026,2.3469,2.8839,1.301,1.7145,1.8938,1.301,2.7508,1.8447,1.8602,1.9395,2.1877,1.4969,1.301,1.9958,2.3427,2.0866,1.301,1.9897,1.6779,1.8956,2.1419,2.6669,1.301,2.2963,1.5276,1.9045,2.6609,1.301,2.1171,2.8946,2.7473,1.301,1.5562,1.8901,2.4006,2.6321,2.0533,1.7339,2.2552,1.8201,1.3117,2.614,1.6517,1.301,1.301,2.2382,2.2403,2.5183,2.7978,1.301,1.6749,2.5089,1.301,1.8846,1.4452,1.9528,1.301,2.0639,1.7626,1.4947,2.7226,1.301,1.8699,2.1457,2.0366,1.5502,2.3824,3.3733,1.7894,1.9718,1.8508,2.1406,2.1302,2.3745,2.326,2.247,2.1904,1.8794,2.9252,2.3422,1.301,3.0014,1.3894,1.301,1.301,1.301,1.8025,1.301,2.0051,2.6894,1.301,1.8297,1.7424,1.9041,1.301,2.7799,3.1997,1.301,1.7443,2.3539,1.7557,1.5003,2.0134,1.301,1.8233,2.5833,2.1055,1.5737,2.0858
C-GBM-O,1.8401,1.6482,2.8958,2.1501,1.6192,1.6051,1.8936,1.301,1.6532,1.8895,1.8114,2.0534,1.9482,1.8114,1.7828,1.609,1.3212,1.9136,1.301,2.0825,1.301,1.3212,2.1376,2.1691,1.301,1.5133,1.5763,1.301,1.6199,1.301,1.7917,2.0676,1.4942,1.3166,1.301,1.7611,1.8236,1.8148,1.3851,1.5084,1.5897,1.879,2.262,1.7838,1.301,2.0109,1.301,1.7167,2.1741,1.301,1.8883,2.5373,2.2251,1.5363,1.3072,2.3361,2.3958,2.7004,1.301,1.301,1.6734,1.301,1.5064,2.1767,1.301,1.301,1.301,2.0763,1.4578,1.6067,2.3919,1.301,1.5669,2.3417,1.8378,1.8089,1.301,1.5738,1.345,2.1236,1.672,1.3025,2.5171,1.301,1.7435,1.8907,1.7677,1.6439,1.9361,3.3797,1.7155,1.5518,1.5509,2.0402,1.4522,1.9478,1.7791,1.9754,1.6828,1.7498,2.8273,1.8824,1.301,2.7155,1.5491,1.7999,1.8688,1.3212,1.5872,1.5554,2.9197,1.8197,1.301,1.3377,1.7216,1.4314,2.3321,2.5256,3.0023,1.301,1.6035,1.8009,1.5889,1.3151,2.0361,1.301,1.5297,2.3676,1.914,1.8104,2.0299
C-GBM-O,1.6361,1.301,2.9342,2.6116,1.867,1.961,1.6626,1.5969,1.8341,1.9909,1.9002,1.9565,2.2433,1.3076,1.6626,1.301,1.3748,1.3834,1.301,1.3698,1.5708,1.9728,1.8245,2.0637,1.9852,1.7505,1.301,1.301,1.301,1.8196,1.3465,1.9402,1.6758,1.9737,1.7557,2.073,1.8866,2.2181,1.301,1.5446,1.4734,1.6279,2.3198,1.3205,1.5275,2.145,1.6771,1.7705,2.0206,1.301,1.6087,2.5576,2.1038,1.566,1.7943,2.3171,2.1924,2.4354,1.301,1.301,1.6989,1.4744,1.3018,1.9212,1.301,1.301,1.301,2.3611,1.5802,1.7644,2.2822,1.301,1.6173,1.4583,1.301,1.6771,1.9532,1.6502,1.301,2.1762,1.5301,1.9064,2.3747,1.4106,1.301,2.0552,1.832,1.4976,1.5231,3.4974,1.301,1.887,1.7953,1.3465,1.7735,1.9148,2.0206,1.5078,1.8161,1.301,2.4976,1.301,1.301,2.4875,1.6065,1.301,2.0049,1.301,1.6953,1.301,2.2256,1.5378,1.4208,1.7179,1.301,1.301,2.0547,2.8335,3.0789,1.301,1.301,2.0315,1.4479,1.301,1.9395,1.3557,1.9144,2.0839,1.5488,1.301,1.7891
C-GBM-O,2.0342,2.1274,2.8335,1.9309,2.4305,1.8638,1.9057,1.4345,1.8761,2.0742,1.8059,1.7787,1.6848,1.8922,2.1486,1.9191,1.7676,2.4822,1.3527,1.5708,1.4656,1.301,2.1007,2.4597,1.779,1.8963,1.4635,1.301,1.9038,1.301,2.1304,1.9112,1.6087,1.6715,1.301,1.3915,2.0745,2.0732,1.737,1.4862,1.7184,2.0358,2.3009,1.9639,1.301,2.2111,1.7683,1.7767,2.185,1.301,1.8855,2.608,2.3907,1.8152,1.4756,2.545,2.3238,2.5236,2.0744,1.301,1.8591,1.512,1.6037,2.5768,1.6037,1.6269,1.301,2.2203,1.6389,2.0006,2.5037,1.9055,1.7662,2.3377,1.6702,1.7717,1.301,1.9393,1.3588,2.2266,1.5876,1.301,2.6274,1.301,2.003,2.1817,1.6343,1.7888,1.9899,3.312,1.6681,2.2192,1.6087,1.9578,2.1433,2.2964,2.0943,2.2975,1.9877,1.9258,2.9701,1.9784,1.5567,2.8633,1.8121,1.5972,1.4614,1.301,1.527,1.7025,2.9286,1.9565,1.301,1.9131,1.5922,1.7021,2.2142,2.7922,3.0239,1.7987,1.5917,1.8333,1.8451,2.1272,2.0467,1.301,1.4425,2.4828,2.4788,2.2215,1.939
C-GBM-O,1.9936,2.1187,2.8344,2.0219,2.3803,1.6589,1.7936,1.301,1.8483,1.9991,1.7687,1.6021,1.6553,1.6535,1.7186,1.301,1.695,2.4228,1.3626,1.6221,1.6922,1.365,1.996,2.537,1.9755,1.8074,1.4443,1.301,2.4515,1.301,1.804,1.8545,1.301,1.301,1.301,1.3789,2.0322,1.9331,1.301,1.4273,1.681,1.986,2.2212,2.035,1.301,2.1285,1.301,1.7394,2.1574,1.301,1.8966,2.6497,2.2949,1.5097,1.3708,2.4873,2.2942,2.6718,1.7962,1.301,1.9152,1.3281,1.5477,2.4253,1.5064,1.301,1.301,2.1366,1.5959,1.8179,2.3354,1.4453,1.7289,2.2704,1.856,1.4531,1.301,1.7349,1.301,2.0955,1.4755,1.5523,2.6987,1.301,1.812,2.0806,1.5546,1.9263,1.9786,3.2786,1.6895,2.0644,1.5882,1.6504,2.0575,2.2218,2.035,2.3035,2.0347,1.8764,2.8997,1.8548,1.301,2.8493,1.7096,1.4434,1.301,1.301,1.4801,1.4719,3.0346,1.8579,1.301,1.7555,1.6221,1.301,2.1451,2.6692,2.978,1.301,1.8095,1.8491,1.7268,1.9292,1.9629,1.523,1.7793,2.4412,2.2791,2.4615,1.8552
C-GBM-O,2.1201,1.9037,2.7569,1.7983,2.5413,1.7,1.7163,1.301,1.8628,2.0894,2.2235,1.5844,1.5432,1.8114,1.7678,1.4724,1.6569,2.5936,1.3584,1.8175,1.898,1.343,2.1544,2.2843,1.949,1.7601,1.6499,1.301,2.1503,1.307,1.6489,2.0421,1.6959,1.607,1.301,1.7891,1.8807,1.7933,1.3056,1.301,1.8031,2.1768,2.0362,1.8677,1.301,2.1517,1.301,1.6483,2.1834,1.301,2.1391,2.7111,2.2861,1.6925,1.301,2.7088,2.3887,2.6855,1.8822,1.301,1.9156,1.5606,1.551,2.4686,1.4626,1.4194,1.301,1.9464,1.9567,2.1704,2.4668,1.301,1.5715,2.3544,1.917,1.301,1.3345,1.8215,1.301,2.2387,1.7008,1.301,2.6397,1.301,1.6863,2.0027,1.623,1.9477,1.975,3.2449,1.5715,2.1301,1.5892,1.9576,2.0235,2.2493,2.1545,2.3018,2.0798,1.9741,3.0186,1.6863,1.301,2.9113,1.7787,1.4177,1.4286,1.301,1.4407,1.4144,3.3012,2.0995,1.301,1.8733,1.6881,1.4144,2.3246,2.8479,3.106,1.301,1.7756,2.0611,1.7399,1.301,1.8908,1.301,1.8508,2.466,2.2643,2.8407,2.0098
C-GBM-O,2.1394,1.6073,2.7755,1.9983,2.2258,1.7196,1.7517,1.3678,1.8819,1.8345,2.1041,1.725,1.7894,1.7189,1.4547,1.3453,1.6801,1.9024,1.4942,1.4717,1.8331,1.5638,2.1948,2.6136,2.0627,1.8802,1.6797,1.301,2.1869,1.301,1.7679,2.1075,1.301,1.7074,1.301,1.8247,2.1629,1.9088,1.301,1.473,1.7268,2.0963,2.169,1.932,1.301,2.258,1.301,1.8004,2.3261,1.301,2.0531,2.7292,2.2968,1.698,1.4083,2.4678,2.3429,2.6475,1.6907,1.301,2.0188,1.5507,1.5127,2.0673,1.5881,1.301,1.301,2.1032,1.8839,2.094,2.5014,1.301,1.631,2.2879,1.899,1.412,1.301,1.8488,1.5469,2.2504,1.6359,1.4831,2.6108,1.301,1.8659,2.1471,1.8365,2.0164,2.0947,3.2839,1.7581,2.2578,1.6923,1.8439,1.979,2.2783,2.0878,2.3332,2.0823,1.9679,2.9548,1.8761,1.301,2.8027,1.7112,1.301,1.301,1.301,1.6016,1.301,2.9171,2.0836,1.301,1.7614,1.6096,1.301,2.3849,2.8918,3.1018,1.301,1.8522,1.8854,1.8759,1.5675,1.7698,1.3743,1.976,2.5004,2.2985,2.7301,1.9305
C-GBM-O,1.8036,2.2225,2.6706,2.1774,2.5456,1.7815,1.914,1.301,1.8503,1.9621,2.0431,1.6002,1.5798,1.5623,1.884,1.6439,1.602,2.3046,1.301,1.301,1.3855,1.4516,2.0769,2.4315,1.4316,1.8051,1.4797,1.301,2.4772,1.345,1.9057,2.0928,2.125,1.5701,1.301,1.6836,2.0563,1.8029,1.301,1.5455,1.6611,2.1239,2.109,1.9045,1.301,1.86,1.301,1.7026,2.3856,1.301,2.1232,2.683,2.2027,1.6406,1.301,2.4739,2.3314,2.5197,1.9213,1.301,1.8577,1.301,1.6002,2.4933,1.5149,1.301,1.301,1.9938,1.6466,1.9253,2.3654,1.301,1.6626,2.2519,2.196,1.5708,1.301,1.7941,1.301,1.9021,1.6482,1.301,2.5232,1.301,1.4821,1.9316,1.8633,1.9003,2.1148,3.2753,1.6806,2.0451,1.6197,1.7488,2.1878,2.3447,2.2017,2.4975,1.9712,1.8465,3.056,2.167,1.301,2.8026,1.8229,1.4592,1.301,1.301,1.3642,1.301,3.1217,1.6595,1.301,2.018,1.506,1.5193,2.1295,2.6222,3.0044,1.301,1.9193,1.859,1.8236,1.9009,1.9436,1.4396,1.7277,2.3508,2.5319,2.672,1.841
C-GBM-O,2.0142,2.1722,2.6783,1.9801,2.3578,1.7045,1.9247,1.301,1.8652,1.9219,2.1379,1.7671,1.7886,1.7727,1.6566,1.89,1.7671,2.522,1.4661,1.301,1.301,1.301,2.0957,2.4618,1.8887,1.8948,1.4738,1.301,2.6446,1.3511,1.9146,1.9648,1.3374,1.6284,1.301,1.7898,2.0949,1.9735,1.3303,1.6278,1.6555,2.2243,2.3445,2.2565,1.301,2.0771,1.7701,1.7202,2.4503,1.301,1.7873,2.766,2.3965,1.301,1.3804,2.7503,2.2446,2.5724,1.8316,1.301,1.9449,1.3339,1.3655,2.5385,1.5498,1.301,1.301,2.0154,1.6071,1.9028,2.4886,1.4099,1.6898,2.4391,2.0393,1.4721,1.5088,1.9483,1.301,2.1099,1.7684,1.301,2.5078,1.301,1.3959,2.0095,1.5383,1.9721,1.9385,3.2792,1.6762,2.0352,1.431,1.9598,2.1211,2.401,2.16,2.4146,2.2571,1.9207,3.0301,1.8071,1.6735,2.806,1.5353,1.301,1.301,1.301,1.483,2.1595,2.6542,1.6783,1.301,1.8948,1.71,1.4421,2.2746,2.722,3.0588,1.301,1.757,2.1987,1.8233,2.0386,1.9149,1.301,1.9604,2.6052,2.4572,2.4608,1.9895
C-GBM-O,1.938,2.2766,2.7857,2.0612,2.2727,1.6088,2.1021,1.3835,1.8095,1.968,2.1576,2.1108,2.1094,2.0743,2.1623,1.301,1.5658,2.3657,1.301,2.0426,1.4802,1.5621,2.2029,2.3783,1.9447,1.6513,1.8079,1.301,1.9021,1.5667,1.7278,1.8385,1.4413,1.7865,1.351,1.4746,2.0042,1.9378,1.301,1.5884,1.7622,1.9618,2.5017,1.7192,1.5658,2.426,1.4264,1.8142,2.5087,1.301,1.971,2.7575,2.2616,1.6517,1.6376,2.4859,2.4956,2.7181,1.714,1.301,1.9224,1.5365,1.9549,2.5043,1.301,1.301,1.4401,2.1592,1.7584,1.9801,2.4943,1.619,1.5565,2.2937,1.8069,1.557,1.6125,1.5625,1.301,2.2367,1.4065,1.3167,2.5105,1.6054,1.5707,1.9818,1.7881,1.7447,2.0193,3.3552,1.7368,2.0888,1.716,1.6893,1.9564,2.2867,2.1261,2.1847,1.8443,2.0191,2.8476,1.9649,1.3192,2.4127,1.9019,1.8627,1.6029,1.5676,1.5345,1.4998,2.4176,1.4987,1.391,1.6137,1.5504,1.5863,2.3092,2.8249,3.0766,1.301,1.7399,1.6714,1.779,1.5616,1.9019,1.3077,1.8545,2.4428,2.128,2.3376,1.9701
NC-GBM,2.2583,2.3606,2.853,1.7415,2.4647,1.83,2.0078,1.419,1.9318,2.2672,1.8545,1.7068,1.7779,2.1269,2.1474,1.301,1.7447,2.4285,1.301,1.783,1.6805,1.3961,2.2469,2.4739,1.8797,1.8792,1.6358,1.3808,1.8635,1.5961,1.8736,1.8205,1.4221,1.3389,2.0301,1.8314,1.9498,2.0617,1.301,1.5754,1.7274,2.016,2.5308,2.1276,1.3586,2.28,1.6174,1.7936,2.3392,1.301,2.1004,2.8125,2.4222,1.6282,1.5564,2.7111,2.3815,2.7099,1.9847,1.301,2.0207,1.5874,1.4529,2.592,1.3821,1.301,1.301,2.2209,1.667,2.0027,2.5504,1.4454,1.6448,2.2571,1.301,1.3875,1.35,1.8856,1.301,2.2128,1.6663,1.301,2.6776,1.407,1.8034,2.1536,2.034,1.8148,2.0622,3.3131,1.6902,2.2786,1.4731,2.0346,2.0179,2.1738,2.1396,2.1514,2.0682,2.0638,2.9509,1.5032,1.301,2.8624,1.7894,1.4703,1.594,1.301,1.6355,1.7181,2.577,1.8595,1.5394,1.9277,1.6716,1.301,2.2671,2.7868,2.9644,1.301,1.7343,2.0032,1.839,1.7496,1.8786,1.301,1.8842,2.54,2.0989,1.5528,2.032
NC-GBM,2.2382,2.1789,2.6824,2.2035,2.243,1.692,1.7677,1.3506,2.0524,2.0752,1.5669,2.2484,2.2416,1.9263,1.9102,1.301,1.804,2.106,1.301,1.694,1.5884,1.5891,2.3497,2.542,1.7656,1.8226,1.7239,1.3303,2.0507,1.6516,2.3276,2.0105,1.3593,1.6603,1.301,1.4334,1.9694,1.8696,1.301,1.5144,1.7483,2.2272,2.2447,1.9468,1.301,2.331,1.301,1.7173,2.2793,1.301,2.1056,2.8679,2.2868,1.722,1.4298,2.4988,2.4556,2.6764,1.6167,1.301,1.9867,1.4205,1.7276,2.5918,1.3517,1.301,1.4343,2.077,1.8898,2.1311,2.5006,1.7206,1.6505,2.3029,2.052,1.554,1.301,1.7882,1.301,2.0261,1.747,1.301,2.7188,1.301,1.5099,2.0727,1.8335,2.1262,2.0261,3.321,1.7206,2.2708,1.6925,1.7698,2.1081,2.397,2.0799,2.3755,1.9275,2.0526,3.0127,2.1678,1.301,2.7851,1.5966,1.301,1.5735,1.4815,1.5343,1.763,2.1311,2.1273,1.3303,1.8989,1.4316,1.301,2.0027,2.7145,3.0397,1.301,2.0632,1.9426,1.787,1.5307,1.9546,1.301,1.9993,2.497,2.0447,2.0456,2.0339
